date,name,value
19-04-2020,BUENOS AIRES,873
20-04-2020,SAN JUAN,2
20-04-2020,SALTA,3
20-04-2020,CHUBUT,4
20-04-2020,MISIONES,5
20-04-2020,JUJUY,5
20-04-2020,LA PAMPA,5
20-04-2020,SAN LUIS,11
20-04-2020,SANTIAGO DEL ESTERO,12
20-04-2020,ENTRE RÍOS,22
20-04-2020,TUCUMÁN,31
20-04-2020,CORRIENTES,34
20-04-2020,LA RIOJA,38
20-04-2020,SANTA CRUZ,41
20-04-2020,MENDOZA,73
20-04-2020,NEUQUÉN,102
20-04-2020,TIERRA DEL FUEGO,122
20-04-2020,RÍO NEGRO,136
20-04-2020,SANTA FE,224
20-04-2020,CHACO,258
20-04-2020,CÓRDOBA,259
20-04-2020,CABA,728
20-04-2020,BUENOS AIRES,915
21-04-2020,SAN JUAN,2
21-04-2020,SALTA,3
21-04-2020,CHUBUT,4
21-04-2020,MISIONES,5
21-04-2020,JUJUY,5
21-04-2020,LA PAMPA,5
21-04-2020,SAN LUIS,11
21-04-2020,SANTIAGO DEL ESTERO,12
21-04-2020,ENTRE RÍOS,22
21-04-2020,TUCUMÁN,31
21-04-2020,CORRIENTES,34
21-04-2020,LA RIOJA,39
21-04-2020,SANTA CRUZ,41
21-04-2020,MENDOZA,73
21-04-2020,NEUQUÉN,102
21-04-2020,TIERRA DEL FUEGO,124
